ID,Ilce_Adi,Mahalle_Adi,Bufe_Adi,Enlem,Boylam
259,KÜÇÜKÇEKMECE,MEHMET AKİF,Aşık Veysel Büfe,41.0530699981545,28.8028469998967
260,GAZİOSMANPAŞA,BARBAROS HAYRETTİN PAŞA,B.h.paşa 3 Büfe,41.0741309982005,28.8886040002363
261,BAYRAMPAŞA,TERAZİDERE,Cuma Pazarı Büfe,41.0343635519847,28.9002045951515
262,MALTEPE,FINDIKLI,Fındıklı Merkez Büfe,40.9689779985106,29.1229959998588
263,ATAŞEHİR,İÇERENKÖY,Köşem Büfe,40.9689109984766,29.117408000224
264,SARIYER,YENİKÖY,Yeniköy Bağlar,41.1227957485234,29.0549697608872
265,KÜÇÜKÇEKMECE,YENİ MAHALLE,Tevfikbey 3 Büfe,40.9968774293288,28.7810330519411
266,BEYLİKDÜZÜ,YAKUPLU,Yakuplu 2 Büfe,41.0008099982095,28.6727539997099
267,ESENLER,TURGUT REİS,Çinçinderesi Büfe,41.0574569979118,28.8652570004092
268,SANCAKTEPE,YUNUS EMRE,Y.doğan Veyselkarani Büfe,41.0176799980547,29.2583540002345
269,FATİH,DERVİŞ ALİ,Vefa Stad Büfe,41.0283969515641,28.9376769107695
270,SULTANGAZİ,ESKİ HABİPLER,Habibler Beyza Büfe,41.1327357138469,28.8327437533583
271,BAKIRKÖY,ZUHURATBABA,Dikilitaş Büfe,40.9921839985757,28.86979099974
272,SULTANGAZİ,CEBECİ,Sultan 2 Büfe,41.106875997761,28.8697369996683
273,KÜÇÜKÇEKMECE,FEVZİ ÇAKMAK,Sefaköy 2 Büfe,41.0076609986066,28.7920930003364
274,SULTANBEYLİ,AKŞEMSETTİN,Bulvar Büfe,40.9463519978321,29.3014170002604
275,BAKIRKÖY,OSMANİYE,Osmaniye Büfe,40.9923279977938,28.8808680000706
276,SULTANGAZİ,SULTANÇİFTLİĞİ,Evrenli,41.0968604916007,28.8611045386246
277,GÜNGÖREN,TOZKOPARAN,Tozkoparan Büfe,41.0148739985188,28.8964960003525
278,BAHÇELİEVLER,HÜRRİYET,Kocasinan Büfe,41.0037339980224,28.8417729996216
279,PENDİK,KAVAKPINAR,Kavakpınar Büfe,40.8809649979951,29.2807859997526
280,BAYRAMPAŞA,KARTALTEPE,Kartaltepe Büfe,41.0567207694078,28.8984815163273
