_id,PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
437,Ümraniye Dr. Fazıl Küçük Caddesi 3,Ümraniye Dr. Fazıl Küçük Caddes,YOL ÜSTÜ,YOL ÜSTÜ,24,08:00-17:00,ÜMRANİYE,29.1130204154137004,41.0265242342661978
438,Ragıp Gümüşpala Cad.(Sobacılar Önü),Rapıp Gümüşpala Cad.(Sobacılar Önü,YOL ÜSTÜ,YOL ÜSTÜ,40,07:00-18:00,FATİH,28.968970958568999,41.0181316171222008
439,Kartal Köprüsü Kavşağı P+R,Kartal Köprüsü Kavşağı  P+,AÇIK OTOPARK,AÇIK OTOPARK,135,06:00-17:00,KARTAL,29.2065034041447014,40.9074954125338976
440,Esenler Menderes Metro İstasyonu Yanı,Esenler Menderes Metro İstasyonu Yan,AÇIK OTOPARK,AÇIK OTOPARK,120,24 Saat,ESENLER,28.8782581686973998,41.0426463543093973
441,Beşiktaş Emirhan Caddesi 1,Beşiktaş Emirhan Caddes,YOL ÜSTÜ,YOL ÜSTÜ,80,07:30-18:00,BEŞİKTAŞ,29.0090131759644017,41.0571555793897005
442,B-37 Mecidiyeköy - Topkapı Minibüs Durağı,B-37 Mecidiyeköy - Topkapı Minibüs Durağ,MİNİBÜS PARK,MİNİBÜS PARK,20,24 Saat,ŞİŞLİ,28.9944483990920006,41.0669312938775022
443,TRT Önü Açık Otoparkı,TRT Önü Açık Otopar,AÇIK OTOPARK,AÇIK OTOPARK,130,24 Saat,BEYOĞLU,28.9746046067958005,41.0325906779250005
444,Beyoğlu Tepebaşı Katlı Otoparkı,Beyoğlu Tepebaşı Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,1005,24 Saat,BEYOĞLU,28.9743643999100016,41.0319095316963001
445,Gençtürk Caddesi 3,Gençtürk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,FATİH,28.9553904533386017,41.0111430658191978
446,Süleyman Seba Caddesi 2,Süleyman Seba Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,BEŞİKTAŞ,28.9998185634613002,41.0425775730041025
447,Çekmeköy Çavuşbaşı Caddesi 4,Çekmeköy Çavuşbaşı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ÇEKMEKÖY,29.1728974457384993,41.0310263554402965
448,Nadide Sokak 2,Nadide Soka,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-18:00,GÜNGÖREN,28.8917613424352986,41.0081589877100967
449,Yayla Sanat Merkezi Önü,Yayla Sanat Merkezi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,300,24 Saat,MALTEPE,29.1234683990479013,40.9262729760591029
450,Bostancı Vergi Dairesi Açık Otoparkı,Bostancı Vergi Dairesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,105,07:00-20:00,ATAŞEHİR,29.1080598103621995,40.9625103489262017
451,Çırpıcı Metro Taksi Durağı,Çırpıcı Mertro Taksi Durağ,TAKSİ PARK,TAKSİ PARK,10,07:00-17:00,ZEYTİNBURNU,28.890492054616999,41.001666245677697
452,A-15 Topkapı-Arnavutköy Minibüs Durağı,A-15 Topkapı-Arnavutköy Minibüs Durağ,MİNİBÜS PARK,MİNİBÜS PARK,193,07:00-23:00,ZEYTİNBURNU,29.3251541088730008,40.9326996800137977
453,Darüşşafaka Yeraltı Otoparkı,Darüşşafaka Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,150,24 Saat,SARIYER,29.025246298554201,41.129280189922298
454,Bülent Ecevit Kültür Merkezi Açık Otoparkı,Bülent Ecevit Kültür Merkezi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,277,09:00-19:00,KARTAL,29.1970226168633005,40.8854435978407977
455,Yenikapı Spor ve Kültür Merkezi Açık Otoparkı 2,Yenikapı Spor ve Kültür Merkez,AÇIK OTOPARK,AÇIK OTOPARK,1100,24 Saat,FATİH,28.9513848768404998,41.0006952624921013
456,Karaköy Azapkapı,Karaköy Azapkap,AÇIK OTOPARK,AÇIK OTOPARK,100,08:00-19:00,BEYOĞLU,28.969099582042201,41.0255038632928972
457,Cengiz Topel Yer Altı Katlı Otoparkı,Cengiz Topel  Yer Altı Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,144,24 Saat,ESENLER,28.8643401861191009,41.0590445975741005
458,Mehmet Özgün Minibüs Peronları,Mehmet Özgün Minübüs Peronlar,MİNİBÜS PARK,MİNİBÜS PARK,100,07:00-21:00,PENDİK,29.3268173933028997,40.9361253348448031
459,Fatih Çeşme Açık Otoparkı,Fatih Çeşmesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,250,06:00-20:00,SARIYER,28.9462872053287015,41.1689930956829002
460,Gürpınar Balık Hali Otoparkı,Gürpınar Balık Hali Otopark,AÇIK OTOPARK,AÇIK OTOPARK,1000,24 Saat,BEYLİKDÜZÜ,28.6021495433250017,40.967281847746797
461,Beykoz Sosyal Tesisleri 1,Beykoz Sosyal Tesisler,AÇIK OTOPARK,AÇIK OTOPARK,130,07:00-23:00,BEYKOZ,29.0863082384802993,41.1133482084457
462,Dragos Sosyal Tesisleri,Dragos Sosyal Tesisler,AÇIK OTOPARK,AÇIK OTOPARK,100,07:00-22:00,KARTAL,29.1455644369125011,40.9017349898225007
463,Florya Sosyal Tesisleri,Florya Sosyal Tesisler Otopark,AÇIK OTOPARK,AÇIK OTOPARK,60,24 Saat,BAKIRKÖY,28.8091778755187988,40.9616551934753019
464,Beykoz Sosyal Tesisleri 2,Beykoz Sosyal Tesisler,AÇIK OTOPARK,AÇIK OTOPARK,130,08:00-00:00,BEYKOZ,29.086866974830599,41.113616611019502
465,Fatih Akşemsettin Caddesi 3,Fatih Akşemsettin Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:30-19:00,FATİH,28.9422261714934983,41.0207480160179969
466,Mecidiyeköy Oğuz Sokak 1,Mecidiyeköy Oğuz Soka,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-18:30,ŞİŞLİ,29.0003281831741013,41.0678599725148032
467,Langa Bostanları Açık Otoparkı,Langa Bostanları Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,30,09:00-20:00,FATİH,28.9502950997056985,41.0064298428524978
468,Alibeyköy Cep Otogarı P+R,Alibeyköy Cep Otogarı P+,AÇIK OTOPARK,AÇIK OTOPARK,88,24 Saat,EYÜP,28.9422369003296005,41.0878908883406027
