BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,LPG_DISTRIBUTION_COMPANY_ID,LPG_DISTRIBUTION_COMPANY_DESC,FACILITY_TYPE_ID,FACILITY_TYPE_DESC,COUNTY_UAVT_CODE,COUNTY_NAME,NEIGHBORHOOD_UAVT_CODE,NEIGHBORHOOD_NAME,LATITUDE,LONGTITUDE
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1449,KARTAL,40558,ÇAVUŞOĞLU,40.89677383,29.20341709
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,2052,ÇEKMEKÖY,40751,EKŞİOĞLU,41.02688061,29.23974643
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1604,SARIYER,40680,YENİKÖY,41.1177242,29.06441979
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1835,PENDİK,40654,KURTKÖY,40.91494082,29.30364366
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2051,BEYLİKDÜZÜ,40873,KAVAKLI,40.98367542,28.64388918
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1604,SARIYER,40661,ÇAYIRBAŞI,41.15603424,29.03575604
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2004,BAĞCILAR,40162,MERKEZ,41.02964793,28.86681223
1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1327,FATİH,99141,ALİ KUŞÇU,41.0177712,28.95090075
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1449,KARTAL,40555,CEVİZLİ,40.91117178,29.1816818
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2014,SULTANBEYLİ,40949,ABDURRAHMANGAZİ,40.97128421,29.25725831
2,Akaryakıt Lpg,12,Petrol Ofisi,37,Petrol Ofisi,1,Aktif,2012,MALTEPE,40618,GİRNE,40.93831269,29.14087701
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2010,GÜNGÖREN,40498,GENÇOSMAN,41.02832064,28.87822706
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,25,İpragaz,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,41.0142777,28.90059434
2,Akaryakıt Lpg,9,LukOil,26,Luk Oil,1,Aktif,1708,ÜSKÜDAR,40820,SELİMİYE,41.00983903,29.01226015
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,2012,MALTEPE,40614,CEVİZLİ,40.92344507,29.15101452
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2055,SULTANGAZİ,40471,50. YIL,41.08708975,28.86891506
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1852,ÜMRANİYE,98703,ŞERİFALİ,40.99902935,29.15498896
2,Akaryakıt Lpg,14,Termopet Akaryakıt,25,İpragaz,1,Aktif,1237,ÇATALCA,40903,ATATÜRK,41.4101955,28.1854755
2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2054,SANCAKTEPE,40775,MERVE,41.00720945,29.24424775
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1739,ZEYTİNBURNU,40836,VELİEFENDİ,40.9939861,28.89457035
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1708,ÜSKÜDAR,40781,ALTUNİZADE,41.0230893,29.04313523
2,Akaryakıt Lpg,7,Enerji Petrol,52,Enerji Gaz,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,41.04251084,28.84661452
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2012,MALTEPE,40623,ZÜMRÜTEVLER,40.93749563,29.14092765
2,Akaryakıt Lpg,27,Türkiye Petrol,51,Türkiye Petrol,1,Aktif,1739,ZEYTİNBURNU,40842,MERKEZEFENDİ,41.016299,28.91167162
1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,140376,MİMAROBA,41.01046948,28.53174022
1,Akaryakıt,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,40.98166199,28.89088175
2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2054,SANCAKTEPE,40624,BÜYÜKBAKKALKÖY,40.98563868,29.20100302
1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,2005,BAHÇELİEVLER,40177,BAHÇELİEVLER,41.00336557,28.86629591
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1421,KADIKÖY,40524,ERENKÖY,40.97086977,29.08365389
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2004,BAĞCILAR,40176,100. YIL,41.05629933,28.85260992
1,Akaryakıt,32,Çekoil,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40921,YENİ,41.07231784,28.27391577
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2053,ESENYURT,181492,MEVLANA,41.01431716,28.64691482
1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40926,SEMİZKUMLAR,41.07527809,28.1328553
2,Akaryakıt Lpg,25,Starpet,29,Mogaz,1,Aktif,2012,MALTEPE,40614,CEVİZLİ,40.92027741,29.14773205
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2048,ARNAVUTKÖY,40485,MAVİGÖL,41.2033959,28.75979455
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.00988951,28.83102794
1,Akaryakıt,15,Total,-99,Bilinmiyor,1,Aktif,1185,BEYKOZ,191731,İSHAKLI,41.13278022,29.28257141
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1325,EYÜPSULTAN,40370,MİTHATPAŞA,41.16944965,28.90500865
1,Akaryakıt,21,Turkuaz,-99,Bilinmiyor,1,Aktif,1237,ÇATALCA,40916,KARACAKÖY MERKEZ,41.40368877,28.37736237
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1336,GAZİOSMANPAŞA,40455,MERKEZ,41.05196898,28.91129632
1,Akaryakıt,10,Opet,10,Aygaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40591,ATATÜRK,41.06029844,28.78955456
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2048,ARNAVUTKÖY,40908,YEŞİLBAYIR,41.13654881,28.6229764
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2050,BAŞAKŞEHİR,40585,ZİYA GÖKALP,41.0841354,28.78432275
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1185,BEYKOZ,40250,ACARLAR,41.12164292,29.14625501
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1810,KAĞITHANE,40543,MERKEZ,41.08524513,28.97806908
2,Akaryakıt Lpg,20,Full,50,Full Gaz,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,40.88430941,29.2359367
1,Akaryakıt,3,Aytemiz,-99,Bilinmiyor,1,Aktif,2003,AVCILAR,40154,TAHTAKALE,41.05823633,28.73067151
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1782,BÜYÜKÇEKMECE,99334,ÇAKMAKLI,41.04084216,28.62583498
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1663,ŞİŞLİ,40692,ESKİŞEHİR,41.04468951,28.97831723
1,Akaryakıt,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2049,ATAŞEHİR,40526,YENİSAHRA,40.99013038,29.08203929
2,Akaryakıt Lpg,9,LukOil,46,Akpet,1,Aktif,2053,ESENYURT,40881,ATATÜRK,41.03181525,28.65739379
2,Akaryakıt Lpg,12,Petrol Ofisi,10,Aygaz,1,Aktif,2055,SULTANGAZİ,40473,UĞUR MUMCU,41.10404414,28.86197178
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40589,GÜLTEPE,40.99291354,28.79361403
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1708,ÜSKÜDAR,40794,FERAH,41.0314481,29.07960182
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2050,BAŞAKŞEHİR,40581,BAŞAKŞEHİR,41.09846363,28.79100388
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2048,ARNAVUTKÖY,40478,ARNAVUTKÖY MERKEZ,41.18201676,28.74285376
